Hotkey,PCSX2-QT
Quick Menu,`Select` + `R3`
Toggle Full Screen,`Start` + `L3`
Save State,`Select` + `R1`
Load State,`Select` + `L1`
Next Save State Slot,`Start` + `R1`
Previous Save State Slot,`Start` + `L1`
Fast Forward,`Select` + `R2`
Slow Motion,`Select` + `L2`
Pause/Play,`Select` + `A`
Screenshot,`Select` + `B`
Reset Emulation,`Select` + `L3`
Stop Emulation,`Select` + `Start`
Increase Upscale Multiplier,`Start` + `DPad Up`
Decrease Upscale Multiplier,`Start` + `DPad Down`
Toggle Software Rendering,`Start` + `DPad Left`
Cycle Aspect Ratio,`Start` + `DPad Right`